ID	Gene	d2.1_1	d2.2_1	d2.3_1	d30.1_1	d30.2_1	d30.3_1
P1_MYC_Codon_peg1	P1_MYC_Codon_peg1	844	1961	569	972	1133	362
P2_MYC_Codon_peg2	P2_MYC_Codon_peg2	1551	1248	343	1619	1251	1874
P3_MYC_Codon_peg3	P3_MYC_Codon_peg3	2487	3155	480	4941	3835	3847
P4_MYC_Codon_peg4	P4_MYC_Codon_peg4	1691	6844	1083	1678	802	346
P5_MYC_Codon_peg5	P5_MYC_Codon_peg5	3607	3605	956	2493	2295	3422
P6_MYC_Codon_peg6	P6_MYC_Codon_peg6	1788	3281	831	1095	95	3690
P7_MYC_Codon_peg7	P7_MYC_Codon_peg7	1120	2376	642	212	7	7
P8_MYC_Codon_peg8	P8_MYC_Codon_peg8	431	1389	184	150	0	40
P9_MYC_Codon_peg9	P9_MYC_Codon_peg9	1389	1618	823	3266	2130	1294
P10_MYC_Codon_peg10	P10_MYC_Codon_peg10	171	38	67	255	69	315
P11_MYC_Codon_peg11	P11_MYC_Codon_peg11	186	4	49	0	106	2
P12_MYC_Codon_peg12	P12_MYC_Codon_peg12	285	83	151	41	61	99
P13_MYC_Codon_peg13	P13_MYC_Codon_peg13	646	29	722	15	17	256
P14_MYC_Codon_peg14	P14_MYC_Codon_peg14	2231	2166	110	1202	1795	3043
P15_MYC_Codon_peg15	P15_MYC_Codon_peg15	1255	3069	2115	849	378	425
P16_MYC_Codon_peg16	P16_MYC_Codon_peg16	1015	12	112	62	5205	1612
P17_MYC_Codon_peg17	P17_MYC_Codon_peg17	5407	916	47	3900	821	1853
P18_MYC_Codon_peg18	P18_MYC_Codon_peg18	445	1060	971	200	16	1963
P19_MYC_Codon_peg19	P19_MYC_Codon_peg19	2359	3136	974	3528	129	205
P20_MYC_Codon_peg20	P20_MYC_Codon_peg20	2225	1875	1001	688	730	109
P21_MYC_Codon_peg21	P21_MYC_Codon_peg21	5984	5674	435	4135	5736	14404
P22_MYC_Codon_peg22	P22_MYC_Codon_peg22	1331	3854	1229	1539	559	3263
P23_MYC_Codon_peg23	P23_MYC_Codon_peg23	1135	1144	2037	594	572	346
P24_MYC_Codon_peg24	P24_MYC_Codon_peg24	2254	2982	326	725	1274	380
P25_MYC_Codon_peg25	P25_MYC_Codon_peg25	390	329	170	32	292	125
P26_MYC_Codon_peg26	P26_MYC_Codon_peg26	674	1618	446	20	179	3578
P27_MYC_Codon_peg27	P27_MYC_Codon_peg27	4148	7496	1056	2618	1483	2837
P28_MYC_Codon_peg28	P28_MYC_Codon_peg28	97	1059	72	2009	226	171
P29_MYC_Codon_peg29	P29_MYC_Codon_peg29	1306	2948	1534	2758	1826	3047
P30_MYC_Codon_peg30	P30_MYC_Codon_peg30	2391	178	191	317	384	350
P31_MYC_Codon_peg31	P31_MYC_Codon_peg31	942	267	1097	291	60	317
P32_MYC_Codon_peg32	P32_MYC_Codon_peg32	283	254	237	93	6187	32
P33_MYC_Codon_peg33	P33_MYC_Codon_peg33	2759	3367	932	2413	1131	1583
P34_MYC_Codon_peg34	P34_MYC_Codon_peg34	6639	4913	216	1140	3033	2251
P35_MYC_Codon_peg35	P35_MYC_Codon_peg35	974	271	205	1304	65	47
P36_MYC_Codon_peg36	P36_MYC_Codon_peg36	3821	504	2116	1105	1107	2379
P37_MYC_Codon_peg37	P37_MYC_Codon_peg37	2866	2482	162	99	409	1446
P38_MYC_Codon_peg38	P38_MYC_Codon_peg38	57142	11075	726	6362	8688	17444
P39_MYC_Codon_peg39	P39_MYC_Codon_peg39	1472	4112	1043	5342	2657	1564
P40_MYC_Codon_peg40	P40_MYC_Codon_peg40	723	271	178	45	3787	1183
P41_MYC_Codon_peg41	P41_MYC_Codon_peg41	1942	3200	502	4737	1778	2809
P42_MYC_Codon_peg42	P42_MYC_Codon_peg42	185	506	565	582	259	93
P43_MYC_Codon_peg43	P43_MYC_Codon_peg43	691	1505	566	1798	1203	1492
P44_MYC_Codon_peg44	P44_MYC_Codon_peg44	2123	1527	683	1994	772	2162
